Sample;Este (X);Norte (Y);Altura (Z);Litología;Productividad;Método;Ag_ppm;Al_pct;As_ppm;Ba_ppm;Be_ppm;Bi_ppm;Ca_pct;Cd_ppm;Ce_ppm;Co_ppm;Cr_ppm;Cs_ppm;Cu_ppm;Fe_pct;Ga_ppm;Hf_ppm;In_ppm;K_pct;La_ppm;Li_ppm;Mg_pct;Mn_ppm;Mo_ppm;Na_pct;Nb_ppm;Ni_ppm;P_pct;Pb_ppm;Rb_ppm;Re_ppm;S_pct;Sb_ppm;Sc_ppm;Se_ppm;Sr_ppm;Ta_ppm;Te_ppm;Th_ppm;Ti_pct;Tl_ppm;U_ppm;V_ppm;W_ppm;Y_ppm;Zn_ppm;Zr_ppm
PA-25;992299.100;1104945.4;646.06;Lcc;No productiva;MA250;0.022;9.78;12;512;2;0.53;0.2;1.91;222.68;2.4;34;0.7;7.3;0.52;24.24;0.05;0.02;0.98;95.1;11.2;0.07;22;23.9;6.948;9.21;13.4;0.07;2.48;26.3;0.007;0.06;2.26;6.7;0.15;38;0.7;0.025;12.5;0.307;0.37;1.6;127;1.3;3;78.9;1.5
PA-45;992107.462;1104737.52;598.9;Lcc;No productiva;MA250;0.058;3.29;27.8;74;1;1.24;10.97;0.66;52.14;15.4;12;0.05;15.3;2.39;11.92;0.06;0.02;0.05;25.3;0.2;2.62;1034;1.64;4.249;2.74;26.4;0.157;4.16;1.5;0.001;0.85;1.3;4.2;0.4;80;0.2;3.55;5.1;0.087;0.06;1.3;45;0.4;10.4;26;1.4
PA-46;992114.614;1104736.11;598.9;Lcc;No productiva;MA250;0.033;5.51;16.6;23;1;0.5;11.66;0.19;57.38;17.8;14;0.05;12.7;1.53;14.03;0.02;0.01;0.09;28.3;1.6;1.06;529;2.01;5.561;2.7;19.7;0.163;1.53;3.7;0.003;0.56;0.77;6.3;0.6;66;0.2;2.1;7.1;0.084;0.06;1.4;60;0.4;12;14;1.4
PA-47;992091.177;1104835.34;527.76;Lcc;No productiva;MA250;0.062;3.94;16.9;10;0.5;1.43;14.26;0.21;52.85;8.5;8;0.05;11.3;1.27;8.71;0.02;0.01;0.04;27.5;3.9;1.48;812;1.73;4.282;2.76;18.4;0.198;2.95;1.1;0.004;0.4;1.54;5.8;1;84;0.2;2.48;8.7;0.079;0.2;2.9;20;0.4;20.2;34.2;0.6
PA-48;992091.984;1104838.97;527.76;Lcc;No productiva;MA250;0.049;5.12;31.9;17;0.5;2.5;13.74;0.61;186.53;11.6;9;0.05;15.7;1.57;9.73;0.16;0.01;0.03;106.4;6.4;1.32;680;2.29;4.927;4.32;30.3;0.395;3.71;0.7;0.001;0.47;2.38;5.6;1.2;93;0.4;2.12;19.5;0.128;0.17;4.4;20;0.7;24.7;48.9;4.1
PA-49;992097.953;1104837.56;527.76;Lcc;No productiva;MA250;0.064;3.77;23.3;18;0.5;2.11;16.64;0.38;23.3;7.5;20;0.05;21.2;1.67;7.69;0.14;0.02;0.09;10.1;6;3.27;1041;2.39;3.085;2.11;22.6;0.205;3.86;3.9;0.003;0.3;2.29;8.6;0.6;117;0.2;2.94;4.7;0.063;0.11;2.8;77;0.4;22.1;55.1;3.7
PA-50;992101.128;1104837.88;527.76;Lcc;No productiva;MA250;0.073;3.05;16.3;10;0.5;1.26;15.84;0.53;11;4.3;9;0.05;14.8;1.8;7.14;0.09;0.02;0.03;4.5;0.6;4.55;1363;0.93;3.343;1.7;15.1;0.109;1.92;0.6;0;0.23;2.02;5.4;0.3;99;0.1;2.82;3.5;0.054;0.03;1.3;28;0.3;15.2;83.4;2.9
PA-60;992122.398;1104734.44;598.9;Lcc;No productiva;MA250;0.08;3.25;12;16;0.5;0.34;10.95;0.59;9.62;9.6;13;0.05;4.5;1.53;11.18;0.01;0.01;0.14;4.4;1.3;3.97;1223;0.7;4.027;2.28;11.9;0.111;1.41;3.4;0;0.21;0.57;5.4;0.15;90;0.2;5.1;2.6;0.07;0.03;0.9;78;0.3;6.2;71.5;0.6
PA-61;992021.327;1104915.99;643.03;Lcc;No productiva;MA250;0.09;3.18;8.7;22;0.5;0.43;15.35;1.15;12.18;8.2;20;0.05;5.8;1.75;7.38;0.19;0.01;0.19;5.8;5.4;5.7;1730;0.74;2.475;2.07;7.4;0.123;0.78;8.7;0;0.19;0.7;8.7;0.15;179;0.1;7.81;2.7;0.07;0.03;1.2;125;0.3;9.4;131.5;3.2
PA-63;991300.184;1104941.05;645.07;Lcc;No productiva;MA250;0.14;11.58;26.5;217;2;1.58;0.34;2.19;7.17;6.7;57;1.1;14.3;1.02;29.12;0.06;0.02;1.81;2.5;7.9;0.13;46;30.9;6.929;6.31;36.6;0.033;5.2;56.7;0.02;0.09;4.46;12.1;0.15;44;0.5;0.06;5.8;0.229;0.77;1.9;220;0.9;1;122.2;1.7
